"name","lat","lon"
"Airara",-9.505239,149.290127
"Ajoa",-9.281892,149.186688
"Ako",-9.051507,149.057227
"Ambasi",-8.264754,148.188917
"Badaide",-9.178933,148.700721
"Bagou",-8.660278,148.330556
"Bakubari",-8.55765,148.224345
"Bandari",-8.964119,148.462017
"Bareji",-9.156745,148.572057
"Barisari",-8.762329,148.407896
"Batari",-8.474931,148.130396
"Beama",-8.8995,148.485069
"Beanga",-8.33088,148.188925
"Bendorode",-9.111771,148.762528
"Bepore*",-8.619097,148.29625
"Berebona",-8.939618,148.475069
"Bindari",-8.222654,148.165841
"Botewari",-9.19808,148.571868
"Buna",-8.664529,148.39724
"Dombada",-8.859122,148.475135
"Embesa",-9.451136,148.761342
"Embi",-8.851313,148.430286
"Embogo",-8.842471,148.460374
"Emo",-9.00038,148.52541
"Eroro",-8.865231,148.483229
"Fofo",-9.358192,149.17665
"Fofoma",-9.036959,149.135462
"Foru 1",-9.127892,148.897005
"Foru 2",-9.136082,148.89482
"Founa",-9.016811,149.155416
"Fufuda",-8.547071,148.188365
"Ganjiga",-9.448936,149.20087
"Garara",-8.620648,148.326068
"Gegerawa",-9.547193,149.377431
"Ginei",-9.171149,148.599732
"Gobe",-9.062619,149.005249
"Gora",-9.179483,148.58767
"Guruguru",-9.270808,148.941562
"Ilamaroro",-9.037245,149.135754
"Inaram",-9.341385,149.156249
"Kainde",-8.261604,148.187406
"Karaisa",-9.132363,148.65311
"Katuna & Kome",-8.422828,148.219045
"Kewansasap",-9.565215,149.415988
"Killerton",-8.622207,148.346093
"Kinjaki",-9.207599,148.572246
"Komabun",-9.339967,149.180052
"Kopure",-8.869241,148.474421
"Korara",-9.326397,148.604856
"Koreaf",-9.342387,149.138425
"Kurereda",-8.46535,148.227091
"Kurou",-8.608615,148.274957
"Marakof",-9.248855,149.210908
"Marua",-9.502202,149.294931
"Moiavi",-9.21908,148.729609
"Momoiogo",-9.2537,148.821814
"Mora",-8.306212,148.178717
"Naukwate",-9.333002,149.152413
"Nembadi",-9.17103,148.589527
"Ope",-8.32146,148.204705
"Oreresan",-9.346881,149.178543
"Orotoaba",-9.235537,149.167612
"Pongani",-9.049665,148.569846
"Rainu",-9.346897,149.178556
"Reaga",-9.515145,149.346337
"Sanananda",-8.640556,148.368611
"Sariri",-9.1874,148.585322
"Sebaga",-9.089333,148.856556
"Sinapa",-9.498225,149.258376
"Sinei",-9.010443,149.268507
"Siremi",-8.732222,148.409722
"Songade",-9.089998,148.621672
"Tekwakwan",-9.356407,149.177621
"Tumari",-9.014663,149.194191
"Uiaku",-9.453516,149.20169
"Ungoda",-9.183359,148.578677
"Utan",-9.313429,149.124503
"Uwe",-9.216552,149.238573
"Waiug",-9.336199,149.171381
"Wanigela (Sarad Miss/Stn)",-9.338111,149.156563
"Yuayu",-9.392605,149.180659
